"slug","name","nameRw","category","brand","price_RWF","stock","sku","shortDescription","primaryImage"
"miadi-hair-mouldin-gel-wax-with-olive-oil","MIADI Hair Mouldin' Gel Wax (With Olive Oil)","","haircare","","0","0","FCS-FD701B","MIADI Hair Mouldin' Gel Wax (With Olive Oil) — haircare that helps keep hair looking neat and healthy.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785923213/freedomcosmeticshop/products/bh9qqhnkwyipnwjfbz7k.jpg"
"more-up-aloe-vera-vitamin-e-2-in-1-pure-petroleum-jelly","More Up Aloe Vera & Vitamin E 2-in-1 Pure Petroleum Jelly","","petroleum-jelly","","0","0","FCS-5F7E35","More Up Aloe Vera & Vitamin E 2-in-1 Pure Petroleum Jelly — a petroleum jelly that moisturizes and helps protect dry skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785753463/freedomcosmeticshop/products/b31zwnnqrkkhggd0c5et.jpg"
"movit-sheen-hair-spray-olive-argan-oil","Movit Sheen Hair Spray Olive & Argan Oil","","haircare","","0","0","FCS-E7DCB3","Movit Sheen Hair Spray Olive & Argan Oil — haircare that helps keep hair looking neat and healthy.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785955264/freedomcosmeticshop/products/wj30xdhxdknywjnzyq4c.jpg"
"mpya-rungu-medi-anti-bacterial-soap","MPYA Rungu-Medi Anti-Bacterial Soap","","soap","","0","0","FCS-05DB91","MPYA Rungu-Medi Anti-Bacterial Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785345007/freedomcosmeticshop/products/vo5fdaykx4711legrdip.jpg"
"nina-family-soap-bathing-bar-rose-peach","NINA Family Soap Bathing Bar (Rose & Peach)","","soap","","0","0","FCS-DC4BD4","NINA Family Soap Bathing Bar (Rose & Peach) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785349016/freedomcosmeticshop/products/pbrufrzyhbzr5s7uhhk8.jpg"
"oniro-fragrance-mist-brume-parfum-e","ONIRO Fragrance Mist (Brume Parfumée)","","fragrance","","0","0","FCS-D6A94C","ONIRO Fragrance Mist (Brume Parfumée) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785596298/freedomcosmeticshop/products/jxqf9ub5qbkxqotqqndp.jpg"
"original-pure-egyptian-magic-whitening-gold-soap-with-egg-yolk-l-glutathione","Original Pure Egyptian Magic Whitening Gold Soap (With Egg Yolk & L-Glutathione)","","soap","","0","0","FCS-5E2CD5","Original Pure Egyptian Magic Whitening Gold Soap (With Egg Yolk & L-Glutathione) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785427126/freedomcosmeticshop/products/dmulx5tjg2ozzyjamygo.jpg"
"oud-for-glory-bade-e-al-oud-fragrance-mist-brume-parfum-e","Oud For Glory (Bade'e Al Oud) Fragrance Mist (Brume Parfumée)","","fragrance","","0","0","FCS-9360CB","Oud For Glory (Bade'e Al Oud) Fragrance Mist (Brume Parfumée) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785275785/freedomcosmeticshop/products/vm4nax7zrwv5r5xifku2.jpg"
"papaya-carrot-gluta-soap-scrub-beads","Papaya Carrot Gluta Soap Scrub Beads","","soap","","0","0","FCS-169EBE","Papaya Carrot Gluta Soap Scrub Beads — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785410411/freedomcosmeticshop/products/fq74l4dcnposbhohnqt8.jpg"
"piment-doux-5-days-extra-whitening-milk-lait-traitant","Piment Doux 5 Days Extra Whitening Milk (Lait Traitant)","","whitening","","0","0","FCS-08EF2C","Piment Doux 5 Days Extra Whitening Milk (Lait Traitant) — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785775077/freedomcosmeticshop/products/gmtzfdhqwjwatwkh1ugj.jpg"
"protex-gentle-anti-germ-bar-soap","Protex Gentle Anti-Germ Bar Soap","","soap","","0","0","FCS-ABD506","Protex Gentle Anti-Germ Bar Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785340701/freedomcosmeticshop/products/cowefrellnnncgu1qzkk.jpg"
